Nummer [ID];Feldname [key];Anzeige-Titel  [label];Multiplizität;Art des Feldes;Typ;Rolle;Export zu ISO;Andere Wege;Funktionsweise;Codelisten und Vorbelegungen;Hilfe-Button;Kopier-Button;Übernahme-Button;Übernahme-Button (Vorlage);Löschen Button
38;isoMetadata.inspireAnnexVersion;Schema-Version des INSPIRE Themas;K..1;Formularfeld;Freitextfeld;Redakteur;"ISO 270
(ISO 286)";;"Konditionales Feld, wird nur angezeigt, wenn Metadatentyp ""INSPIRE-harmonisiert"" ausgewählt wurde.
Eintragen der INSPIRE-Annex-Schema Version in ein Freitextfeld. Alle anderen Metadaten-Typen bekommen an dieser Stelle eine automatische Vorbelegung.";https://inspire.ec.europa.eu/applicationschema/applicationschema.de.xml;1;1;0;1;0
37;isoMetadata.valid;Überprüfung des Qualitätsberichts;K..1;Formularfeld;Entscheidung J/N;Redakteur;"ISO 107
(ISO 128-132)";;"Konditionales Feld, wird nur angezeigt, wenn Metadatentyp ""INSPIRE-harmonisiert"" ausgewählt wurde.";;1;1;0;1;0
4;isoMetadata.privacy;Datenschutz-Einstellungen;1..1;Formularfeld;Auswahlliste;"DHS
Redakteur";-;Gateway;"Die Auswahl aus der Liste bedingt die Vorbelegung der Nutzungsbestimmungen:
Wird ""Nicht Datenschut relevant"" ausgewählt, so wird bei den NB die codeliste ""terms_of_use.yaml"" angezeigt.
Wird ein anderer Datenschutz ausgewählt, wird bei den NB die codeliste ""terms_of_use_on_privacy.yaml"" angezeigt.";https://github.com/gdi-be/mde-deployment/blob/main/codelists/privacy.yaml;1;1;0;1;0
25;isoMetadata.termsOfUseId;Nutzungsbestimmungen;1..1;Formularfeld;Auswahlliste;"DHS
Redakteur";"ISO 20
(ISO 67-72)";;"Auswahlliste ist abhängig vom ausgewählten Datenschutz:
Wird ""Nicht Datenschut relevant"" ausgewählt, so wird bei den NB die codeliste ""terms_of_use.yaml"" angezeigt. Vorbelegung mit ""Datenlizenz Deutschland Zero 2.0"".
Wird ein anderer Datenschutz ausgewählt, wird bei den NB die codeliste ""terms_of_use_on_privacy.yaml"" angezeigt. Vorbelegung mit ""Dienstgebrauch"".";"https://github.com/gdi-be/mde-deployment/blob/main/codelists/terms_of_use.yaml

https://github.com/gdi-be/mde-deployment/blob/main/codelists/terms_of_use_on_privacy.yaml";1;1;0;1;0
26;isoMetadata.termsOfUseSource;Quellenangabe;k..1;Formularfeld;Freitextfeld;"DHS
Redakteur";"ISO 20
(ISO 67-72)";;"Konditionales Feld. Es erscheint nur, wenn die NB 2, 3 oder 4 der  ""terms_of_use.yaml"" ausgewählt wurde. Die NB 1 brauch keine Quellenangabe. Erfassen der anzugebenden Quelle. Diese wird bei der ISO-Erzeugung als Variable in die JSON-Notation und in den Text der Nutzungsbestimmungen übernommen.";;1;1;0;1;0
6;isoMetadata.highValueDataset;High Value Datensatz;1..1;Bereich;Entscheidung J/N;"DHS
Redakteur";-;;"Ein ""ja"" bedingt das Eintragen der HVD-Kategorie in die ISO-Metadaten. Ebenso muss bei ""ja"" das Feld HVD-Kategorie ausgefüllt werden.";;1;1;0;1;0
8;isoMetadata.highValueDataCategory;HVD Kategorien;K..1;Formularfeld;Auswahlliste;"DHS
Redakteur";ISO 53;;Auswahlliste von HVD-Kategorien, wenn HVD-Betroffenheit vorliegt. Mehrfachauswahl möglich. Keine Automatische Vorbelegung.;http://data.europa.eu/bna/asd487ae75;0;0;0;0;0
13;isoMetadata.topicCategory;Themenkategorie;1..1;Formularfeld;Auswahlliste;Redakteur;ISO 41;Geoportal;Wenn oben ein INSPIRE Thema ausgewählt wurde, wird die Auswahlliste entsprechend der Zuordnungstabelle der GDI-DE vorausgefüllt. Wenn nicht, kann aus der Auswahlliste ein Eintrag frei ausgewählt werden.;"ISO-Codelist: https://standards.iso.org/iso/19139/resources/gmxCodelists.xml#MD_KeywordTypeCode

Zuordnungstabelle zu INSPIRE-Thema: https://www.gdi-de.org/download/AK_Metadaten_Konventionen_zu_Metadaten.pdf#page=85";1;1;0;1;0
Zeitliche und Räumliche Angaben;;;;;;;;;;;;;;;
9;isoMetadata.created;Erstellungsdatum;0..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 24
(394 - date,
395 - dateType)";;"Optionales Feld. Erfassen einer Datumsangabe, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;1;1;0;1;0
10;isoMetadata.published;Veröffentlichungsdatum;1..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 24
(394 - date,
395 - dateType)";;"Optionales Feld. Erfassen einer Datumsangabe, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;1;1;0;1;0
14;isoMetadata.maintenanceFrequency;Pflegeintervall;1..1;Formularfeld;Auswahlliste;"DHS
Redakteur";ISO 143;;"Erfassen des Pflegeintervalls über  eine Auswahlliste auf Basis der ISO-Codeliste.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";"Codeliste: https://standards.iso.org/iso/19139/resources/gmxCodelists.xml

Vorbelegung: asNeeded";1;1;0;1;0
11;isoMetadata.modified;letzte Aktualisierung;0..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 24
(394 - date,
395 - dateType)";;"Optionales Feld. Erfassen einer Datumsangabe, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;1;1;0;1;0
-;-;Gültigkeitszeitraum;0..1;Bereich;Überschrift;"DHS
Redakteur";-;;"Optionales Feld. Erfassen eines Anfang- und eines Enddatums, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;1;1;0;1;0
12;isoMetadata.validFrom;gültig ab;1..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 45
(ISO 351 - extent)";;"Optionales Feld. Erfassen eines Anfangsdatums, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
24;isoMetadata.validTo;gültig bis;1..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 45
(ISO 351 - extent)";;"Optionales Feld. Erfassen eines Enddatums, freihändig oder über eine Kalenderauswahl.
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
16;technicalMetadata.deliveredCrs;geliefertes Koordinatensystem;0..1;Formularfeld;Freitextfeld;"DHS
Redakteur";-;intern;Erfassen des gelieferten CRS in einem Freitextfeld.;Vorbelegung: 25833;1;1;0;1;0
